id,fiscal_year,function_,program,department,Type,Type_Detail,approved_amount,fund_type,exFund,ExpenseType,ObjectId
694,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,744634,General,,Expenditures,16627
695,2021,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Equipment,20420,General,,Expenditures,16629
696,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Liability Insurance Charges,7064,General,,Expenditures,16630
697,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Salaries and Wages,-22339,General,,Expenditures,16632
698,2021,Culture and Recreation,,Parks and Recreation,Rentals,Laundry & Uniform Rental,957,General,,Expenditures,16634
699,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,2655,General,,Expenditures,16635
700,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,255183,General,,Expenditures,16637
701,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Overtime,11448,General,,Expenditures,16638
702,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Bonus/Settlement Pay,175,General,,Expenditures,16639
703,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Employee Retirement,217805,General,,Expenditures,16640
704,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Medicare Insurance,14666,General,,Expenditures,16641
705,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",OASDI,15821,General,,Expenditures,16642
706,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,229432,General,,Expenditures,16643
707,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Benefit Allocation,-6615,General,,Expenditures,16644
708,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Direct Benefits,-6858,General,,Expenditures,16645
709,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,7473,General,,Expenditures,16646
710,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Field Trip Vendors,5760,General,,Expenditures,16647
711,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Buses/Transportation,7515,General,,Expenditures,16648
712,2021,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,14129,General,,Expenditures,16649
713,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,"Freight, Moving & Storage",190,General,,Expenditures,16650
714,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Mileage Reimbursement,3166,General,,Expenditures,16651
715,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Training & Development,710,General,,Expenditures,16652
716,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,1648,General,,Expenditures,16653
717,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Copying Charges,6503,General,,Expenditures,16654
718,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,2308,General,,Expenditures,16655
719,2021,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Equipment,2325,General,,Expenditures,16656
720,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Alarm & Security Services,8162,General,,Expenditures,16657
721,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,5415,General,,Expenditures,16658
722,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Permits,27,General,,Expenditures,16659
723,2021,Culture and Recreation,,Parks and Recreation,Insurance,Insurance & Bonds,1070,General,,Expenditures,16660
724,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - Radios & Pagers,900,General,,Expenditures,16661
725,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,82008,General,,Expenditures,16662
726,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,756753,General,,Expenditures,16663
727,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Liability Insurance Charges,57620,General,,Expenditures,16664
728,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,7920,General,,Expenditures,16665
729,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Office Paper Products,3396,General,,Expenditures,16666
730,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Computer Supplies,623,General,,Expenditures,16667
731,2021,Culture and Recreation,,Parks and Recreation,Rentals,Rental Of Films,191,General,,Expenditures,16669
732,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Office Paper Products,1331,General,,Expenditures,16671
733,2021,Culture and Recreation,,Parks and Recreation,Rentals,Miscellaneous Rentals,33770,General,,Expenditures,16673
734,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Computer Supplies,3829,General,,Expenditures,16675
735,2021,Culture and Recreation,,Parks and Recreation,Rentals,Storage Units,191,General,,Expenditures,16677
736,2021,Culture and Recreation,,Parks and Recreation,General Supplies,RECTRAC System Supplies,3248,General,,Expenditures,16679
737,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Dues & Subscriptions,3692,General,,Expenditures,16681
738,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,8381,General,,Expenditures,16683
739,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Alarm & Security Services,17521,General,,Expenditures,16685
740,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,250,General,,Expenditures,16687
741,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Professional Certifications,444,General,,Expenditures,16689
742,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Books & Maps,176,General,,Expenditures,16691
743,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,-1010000,General,,Expenditures,16693
744,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,2775,General,,Expenditures,16695
745,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Refunds,500,General,,Expenditures,16697
746,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Community Events - Perishables,3500,General,,Expenditures,16699
747,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Permits,2286,General,,Expenditures,16701
748,2021,Culture and Recreation,,Parks and Recreation,Insurance,Premiums Paid,948,General,,Expenditures,16731
749,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Staff Uniforms,23591,General,,Expenditures,16732
750,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - City Vehicles,59301,General,,Expenditures,16734
751,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - Radios & Pagers,10899,General,,Expenditures,16735
752,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,364927,General,,Expenditures,16736
753,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Capital Recovery Expense,29090,General,,Expenditures,16737
754,2021,Culture and Recreation,,Parks and Recreation,Liability Insurance,Vehicle Liability Insurance,4920,General,,Expenditures,16738
755,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,3975155,General,,Expenditures,16739
756,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Liability Insurance Charges,305554,General,,Expenditures,16740
757,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,22963,General,,Expenditures,16741
758,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Office Paper Products,4772,General,,Expenditures,16742
759,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Computer Supplies,5404,General,,Expenditures,16743
760,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,92204,General,,Expenditures,16744
761,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,20733,General,,Expenditures,16745
762,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Fitness Equipment,31622,General,,Expenditures,16746
763,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Tables & Chairs,19453,General,,Expenditures,16747
764,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Arts and Craft Supplies,12949,General,,Expenditures,16748
765,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,22453,General,,Expenditures,16749
766,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Decorations,7018,General,,Expenditures,16750
767,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Wheel Chairs/Adaptive Appliances,600,General,,Expenditures,16751
768,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Costumes,12000,General,,Expenditures,16752
769,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,3968,General,,Expenditures,16753
770,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Books & Maps,72,General,,Expenditures,16754
771,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Gasoline,500,General,,Expenditures,16755
772,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Alternative Fuels,818,General,,Expenditures,16757
773,2021,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Office Furnishings,1686,General,,Expenditures,16759
774,2021,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Small Tools & Equipment,439,General,,Expenditures,16761
775,2021,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Telephone Supplies,363,General,,Expenditures,16763
776,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,3045579,General,,Expenditures,16781
777,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Salaries and Wages,-91367,General,,Expenditures,16782
778,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,2707077,General,,Expenditures,16783
779,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Overtime,91584,General,,Expenditures,16784
780,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Bonus/Settlement Pay,805,General,,Expenditures,16785
781,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Employee Retirement,890832,General,,Expenditures,16786
782,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Medicare Insurance,84804,General,,Expenditures,16787
783,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Health and Wellness Allowance,3505,General,,Expenditures,16788
784,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",OASDI,167839,General,,Expenditures,16789
785,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,1109048,General,,Expenditures,16790
786,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Benefit Allocation,-30429,General,,Expenditures,16791
787,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Direct Benefits,-28052,General,,Expenditures,16792
788,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Catering Services,2253,General,,Expenditures,16793
789,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,34944,General,,Expenditures,16794
790,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Sports Officials,41442,General,,Expenditures,16795
791,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Field Trip Vendors,97034,General,,Expenditures,16796
792,2021,Culture and Recreation,,Parks and Recreation,Professional Services,CPR Vendors,14126,General,,Expenditures,16797
793,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Buses/Transportation,74644,General,,Expenditures,16798
794,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Entertainment,383,General,,Expenditures,16799
795,2021,Culture and Recreation,,Parks and Recreation,Professional Services,DJ Services,883,General,,Expenditures,16800
796,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,25101,General,,Expenditures,16801
797,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Contract Services,834000,General,,Expenditures,16802
798,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,1453,General,,Expenditures,16803
799,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Fleet Addition Expense,36000,General,,Expenditures,16804
800,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Fitness Equipment,1364,General,,Expenditures,16805
801,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Professional Certifications,500,General,,Expenditures,16808
802,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Arts and Craft Supplies,2470,General,,Expenditures,16809
803,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - City Vehicles,1237751,General,,Expenditures,16813
804,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,375,General,,Expenditures,16814
805,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Machine Repair Materials,420,General,,Expenditures,16816
806,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - Radios & Pagers,63627,General,,Expenditures,16820
807,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Decorations,3402,General,,Expenditures,16821
808,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Alternative Fuels,2414,General,,Expenditures,16823
809,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,564233,General,,Expenditures,16828
810,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Costumes,213,General,,Expenditures,16829
811,2021,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Office Furnishings,583,General,,Expenditures,16831
812,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Capital Recovery Expense,421852,General,,Expenditures,16881
813,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Landscaping Supplies,1623,General,,Expenditures,16882
814,2021,Culture and Recreation,,Parks and Recreation,Liability Insurance,Vehicle Liability Insurance,119100,General,,Expenditures,16886
815,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,1043,General,,Expenditures,16889
816,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,172954,General,,Expenditures,16893
817,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,49400,General,,Expenditures,16898
818,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Liability Insurance Charges,11383,General,,Expenditures,16901
819,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Kitchen Utensils,4383,General,,Expenditures,16903
820,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Uniform & Clothing Purchases,456,General,,Expenditures,16907
821,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,7500,General,,Expenditures,16910
822,2021,Culture and Recreation,,Parks and Recreation,Building Maintenance,Custodial Supplies,685,General,,Expenditures,16913
823,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,503558,General,,Expenditures,16917
824,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Gasoline,525,General,,Expenditures,16920
825,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Landscaping Supplies,700000,General,,Expenditures,16924
826,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Equipment Replacement,3574,General,,Expenditures,16927
827,2021,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Small Tools & Equipment,183,General,,Expenditures,16970
828,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Chemicals & Lab Supplies,210000,General,,Expenditures,16971
829,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,1787374,General,,Expenditures,16975
830,2021,Culture and Recreation,,Parks and Recreation,Building Maintenance,Custodial Supplies,160000,General,,Expenditures,16977
831,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Liability Insurance Charges,145222,General,,Expenditures,16979
832,2021,Culture and Recreation,,Parks and Recreation,Building Maintenance,Plumbing Supplies,200000,General,,Expenditures,16983
833,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,7666340,General,,Expenditures,16985
834,2021,Culture and Recreation,,Parks and Recreation,Building Maintenance,Paint Supplies,17000,General,,Expenditures,16989
835,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Salaries and Wages,-229990,General,,Expenditures,16991
836,2021,Culture and Recreation,,Parks and Recreation,Building Maintenance,Locksmith Supplies,10000,General,,Expenditures,16994
837,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Gasoline,81519,General,,Expenditures,16996
838,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,19968,General,,Expenditures,16998
839,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Diesel Fuel,13804,General,,Expenditures,17002
840,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Bonus/Settlement Pay,2118,General,,Expenditures,17005
841,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Alternative Fuels,159677,General,,Expenditures,17008
842,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Employee Retirement,2242405,General,,Expenditures,17011
843,2021,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Office Furnishings,1000,General,,Expenditures,17014
844,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Medicare Insurance,111785,General,,Expenditures,17017
845,2021,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Small Tools & Equipment,1000,General,,Expenditures,17020
846,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Health and Wellness Allowance,20880,General,,Expenditures,17024
847,2021,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Telephone Supplies,750,General,,Expenditures,17027
848,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",OASDI,1238,General,,Expenditures,17030
849,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery ,Motor Vehicle Parts,17000,General,,Expenditures,17033
850,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,2690799,General,,Expenditures,17036
851,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,856619,General,,Expenditures,17039
852,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Benefit Allocation,-80703,General,,Expenditures,17042
853,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Salaries and Wages,-25699,General,,Expenditures,17045
854,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Direct Benefits,-70617,General,,Expenditures,17049
855,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Bonus/Settlement Pay,175,General,,Expenditures,17052
856,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Employee Retirement,250561,General,,Expenditures,17055
857,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Medical Services,2100,General,,Expenditures,17060
858,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Medicare Insurance,12525,General,,Expenditures,17061
859,2021,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,38000,General,,Expenditures,17066
860,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Health and Wellness Allowance,7000,General,,Expenditures,17067
861,2021,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Cellular,500,General,,Expenditures,17072
862,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,286650,General,,Expenditures,17073
863,2021,Culture and Recreation,,Parks and Recreation,Utilities,Water,3858664,General,,Expenditures,17101
864,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Benefit Allocation,-8600,General,,Expenditures,17102
865,2021,Culture and Recreation,,Parks and Recreation,Utilities,Electricity,70000,General,,Expenditures,17106
866,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Direct Benefits,-7893,General,,Expenditures,17107
867,2021,Culture and Recreation,,Parks and Recreation,Utilities,Waste Removal,170000,General,,Expenditures,17109
868,2021,Culture and Recreation,,Parks and Recreation,Utilities,Sewer Services,120000,General,,Expenditures,17110
869,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,"Freight, Moving & Storage",1000,General,,Expenditures,17111
870,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,50,General,,Expenditures,17112
871,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Travel,16000,General,,Expenditures,17113
872,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Training & Development,5000,General,,Expenditures,17114
873,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,1000,General,,Expenditures,17115
874,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Copying Charges,3000,General,,Expenditures,17116
875,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,1500,General,,Expenditures,17117
876,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Advertising,500,General,,Expenditures,17118
877,2021,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Vehicle Damage Repairs,10000,General,,Expenditures,17119
878,2021,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Software,5000,General,,Expenditures,17120
879,2021,Culture and Recreation,,Parks and Recreation,Rentals,Laundry & Uniform Rental,15000,General,,Expenditures,17121
880,2021,Culture and Recreation,,Parks and Recreation,Rentals,Miscellaneous Rentals,15000,General,,Expenditures,17122
881,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Dues & Subscriptions,3500,General,,Expenditures,17123
882,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Alarm & Security Services,6500,General,,Expenditures,17124
883,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Catering Services,12035,General,,Expenditures,17126
884,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,1050,General,,Expenditures,17129
885,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Entertainment,3086,General,,Expenditures,17133
886,2021,Culture and Recreation,,Parks and Recreation,Professional Services,DJ Services,500,General,,Expenditures,17137
887,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,2000,General,,Expenditures,17157
888,2021,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Equipment,7500,General,,Expenditures,17158
889,2021,Culture and Recreation,,Parks and Recreation,Rentals,Miscellaneous Rentals,2954,General,,Expenditures,17159
890,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Dues & Subscriptions,600,General,,Expenditures,17160
891,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Alarm & Security Services,720,General,,Expenditures,17161
892,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,50000,General,,Expenditures,17162
893,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Permits,600,General,,Expenditures,17163
894,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,58006,General,,Expenditures,17164
895,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,355,General,,Expenditures,17165
896,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,30,General,,Expenditures,17166
897,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,962,General,,Expenditures,17167
898,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Diesel Fuel,459,General,,Expenditures,17168
899,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Artistic Services,400000,Special Revenue ,,Expenditures,17177
900,2021,Economic Development and Assistance,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,25000,Special Revenue ,,Expenditures,17225
901,2021,Culture and Recreation,,Parks and Recreation,Rentals,Port-A-Potties,5000,Special Revenue ,,Expenditures,17228
902,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,10000,Special Revenue ,,Expenditures,17282
903,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - City Vehicles,4281,Special Revenue ,,Expenditures,17289
904,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - Radios & Pagers,2700,Special Revenue ,,Expenditures,17290
905,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,45655,Special Revenue ,,Expenditures,17291
906,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Capital Recovery Expense,3500,Special Revenue ,,Expenditures,17292
907,2021,Culture and Recreation,,Parks and Recreation,Liability Insurance,Vehicle Liability Insurance,660,Special Revenue ,,Expenditures,17293
908,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,6000,Special Revenue ,,Expenditures,17294
909,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Office Paper Products,700,Special Revenue ,,Expenditures,17295
910,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,2500,Special Revenue ,,Expenditures,17296
911,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,3000,Special Revenue ,,Expenditures,17297
912,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,79000,Special Revenue ,,Expenditures,17298
913,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,500,Special Revenue ,,Expenditures,17299
914,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,500,Special Revenue ,,Expenditures,17300
915,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Gasoline,500,Special Revenue ,,Expenditures,17301
916,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Alternative Fuels,1000,Special Revenue ,,Expenditures,17302
917,2021,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Office Furnishings,650,Special Revenue ,,Expenditures,17303
918,2021,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Telephone Supplies,50,Special Revenue ,,Expenditures,17304
919,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Medical Services,663,Special Revenue ,,Expenditures,17305
920,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,20057,Special Revenue ,,Expenditures,17306
921,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Field Trip Vendors,3000,Special Revenue ,,Expenditures,17307
922,2021,Culture and Recreation,,Parks and Recreation,Professional Services,DJ Services,500,Special Revenue ,,Expenditures,17308
923,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,790,Special Revenue ,,Expenditures,17309
924,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,1946,Special Revenue ,,Expenditures,17310
925,2021,Culture and Recreation,,Parks and Recreation,Rentals,Miscellaneous Rentals,3755,Special Revenue ,,Expenditures,17311
926,2021,Culture and Recreation,,Parks and Recreation,Rentals,Port-A-Potties,510,Special Revenue ,,Expenditures,17312
927,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Dues & Subscriptions,151,Special Revenue ,,Expenditures,17313
928,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Internal Charges,42835,Special Revenue ,,Expenditures,17314
